topic	title	date	contributor	feature_id	description	idiom	village	value	comment	examples	source	original_name	original_transcription
indexing	2sg.io + BEN = BEN	2018-02-12	AF			Shapsug		да	в шапсугском как бы по фонетическим причинам, но синхронно или диахронически?		[Керашева 1957: 258]		
indexing	2sg.io + BEN = BEN	2018-02-12	AF			SWC		нет(?)	в шапсугском как бы по фонетическим причинам, но синхронно или диахронически?		[Керашева 1957: 258]		
indexing	3sg.erg	2018-02-12	AF			Kabardian		jə- in PST	возможно, это более общее чередование. Про шапсугский написано странно: непонятно, и- только после директива или вообще после префиксов		[Керашева 1957: 258-259]		
indexing	3sg.erg	2018-02-12	AF			Shapsug		jə- после DIR	возможно, это более общее чередование. Про шапсугский написано странно: непонятно, и- только после директива или вообще после префиксов		[Керашева 1957: 258-259]		
indexing	3sg.erg	2018-02-12	AF			SWC		ə- in PST and FUT	возможно, это более общее чередование. Про шапсугский написано странно: непонятно, и- только после директива или вообще после префиксов		[Керашева 1957: 258-259]		
intensifying pronoun	abs and erg marking (in sg?)	2018-02-12	AF			Bzhedug		нет			[Ситимова 2004: 80]		
intensifying pronoun	abs and erg marking (in sg?)	2018-02-12	AF			Temirgoi		да			[Тхаркахо 1993: 94]		
intensifying pronoun	abs and erg marking (in sg?)	2018-02-12	AF			Bzhedug		нет			[Тхаркахо 1993: 94]		
numerals	all N people	2018-02-12	AF		In Bzhedug there are special prefix aj-/əj- which can be attached to the numerals 'two', 'three', 'four' and 'five', bearing the meaning 'all N people	Bzhedug		aj-/əj- (2, 3, 4, 5)			[Ситимова 2004: 74]		
exclamations	"""С приездом!"""	2018-03-14	AF			Bzhedug		фэсыжьапщи			[Ситимова 2004: 118]	междометие	
exclamations	"""С выздоравлением!"""	2018-03-14	AF			Bzhedug		шIуфежьэжь			[Ситимова 2004: 118]	междометие	
exclamations	"""До свидания!"""	2018-03-14	AF			Bzhedug		хъярджэ			[Ситимова 2004: 118]	междометие	
exclamations	"""Счастливого пути!"""	2018-03-14	AF			Bzhedug		гъогумаф			[Ситимова 2004: 118]	междометие	
exclamations	"""Спасибо"""	2018-03-14	AF			Bzhedug		Тхъэм ынэш1у къыпщэф, тхьауегьэпсэу			[Ситимова 2004: 118]	междометие	
exclamations	"проклятие ""Пусть провалится!"""	2018-03-14	AF			Bzhedug		тхьам пхырегъэз	более присуще женщинам		[Ситимова 2004: 118]	междометие	
exclamations	женские междометия	2018-03-14	AF			Bzhedug		адыдыд; а нынэ; ео-ой гущ			[Ситимова 2004: 118]	междометие	
exclamations	мужские междометия	2018-03-14	AF			Bzhedug		Зиунагъо бэгъон, алахьэр сэгъэщ1ы, алахьэм ыц1эджэ тхьэ сэ1о	Содержат упоминание бога.		[Ситимова 2004: 118]	междометие	
exclamations	восторг или ужас	2018-02-12	AF			Shapsug		А пшъышъ			[Керашева 1957: 278]		
exclamations	восторг	2018-03-14	AF			Bzhedug		Уа			[Ситимова 2004: 118]	междометие	
numerals	cardinal suffix	2018-02-12	AF		"В бжедугском для образования порядковых числительных используется суффикс -рэ. В темиргоевских говорах используется и -рэй, и -рэ — последний вариант ""наблюдается в основном тогда, когда порядковые числительные предшествуют определяемому имени"" [Тхаркахо 1993: 91]. Джамбечийцы используют -рэ чаще других темиргоевцев."		Dzhambechi	-re	Джамбечийцы используют -рэ чаще других темиргоевцев.		[Тхаркахо 1993: 91]		
numerals	cardinal suffix	2018-02-12	AF		"В бжедугском для образования порядковых числительных используется суффикс -рэ. В темиргоевских говорах используется и -рэй, и -рэ — последний вариант ""наблюдается в основном тогда, когда порядковые числительные предшествуют определяемому имени"" [Тхаркахо 1993: 91]. Джамбечийцы используют -рэ чаще других темиргоевцев."	Bzhedug		-re			[Тхаркахо 1993: 91]		
numerals	cardinal suffix	2018-02-12	AF		"В бжедугском для образования порядковых числительных используется суффикс -рэ. В темиргоевских говорах используется и -рэй, и -рэ — последний вариант ""наблюдается в основном тогда, когда порядковые числительные предшествуют определяемому имени"" [Тхаркахо 1993: 91]. Джамбечийцы используют -рэ чаще других темиргоевцев."	Kabardian		-рэй			[Тхаркахо 1993: 91]		
numerals	cardinal suffix	2018-02-12	AF		"В бжедугском для образования порядковых числительных используется суффикс -рэ. В темиргоевских говорах используется и -рэй, и -рэ — последний вариант ""наблюдается в основном тогда, когда порядковые числительные предшествуют определяемому имени"" [Тхаркахо 1993: 91]. Джамбечийцы используют -рэ чаще других темиргоевцев."	Temirgoi		-re / -rej			[Тхаркахо 1993: 91]		
numerals	cardinals end in	2018-02-12	AF		"The numerals with meaning like ""N times"" are formed by attaching the suffix -e. The fractional numerals are analysed ro be formed by attaching -ne to the previous numerals (i.e. by attaching -e-ne). In such forms the e~a alternation works, so the end in -ane (thus we suppose that these suffixes are in the stem). The cardinal numerals are analysed to be formed with the prefix ja- [3pl.io.poss] and the suffix -re, but the vowel a is substituted by the vowel e (how we can analyse it in terms of the stem border?). In Bzhedug in such forms the vowel alternation is remained in -ane (thus we suppose that -re is not in the stem)"	SWC		-enere			[Рогава, Керашева 1966: 80-81]		
numerals	cardinals end in	2018-02-12	AF		"The numerals with meaning like ""N times"" are formed by attaching the suffix -e. The fractional numerals are analysed ro be formed by attaching -ne to the previous numerals (i.e. by attaching -e-ne). In such forms the e~a alternation works, so the end in -ane (thus we suppose that these suffixes are in the stem). The cardinal numerals are analysed to be formed with the prefix ja- [3pl.io.poss] and the suffix -re, but the vowel a is substituted by the vowel e (how we can analyse it in terms of the stem border?). In Bzhedug in such forms the vowel alternation is remained in -ane (thus we suppose that -re is not in the stem)"	SWC		-enere			[Ситимова 2004: 73-74]		
numerals	cardinals end in	2018-02-12	AF		"The numerals with meaning like ""N times"" are formed by attaching the suffix -e. The fractional numerals are analysed ro be formed by attaching -ne to the previous numerals (i.e. by attaching -e-ne). In such forms the e~a alternation works, so the end in -ane (thus we suppose that these suffixes are in the stem). The cardinal numerals are analysed to be formed with the prefix ja- [3pl.io.poss] and the suffix -re, but the vowel a is substituted by the vowel e (how we can analyse it in terms of the stem border?). In Bzhedug in such forms the vowel alternation is remained in -ane (thus we suppose that -re is not in the stem)"	Bzhedug		-anere			[Ситимова 2004: 73-74]		
indexing	causative u- (менее продуктивный)	2018-02-12	AF			Shapsug		да			[Керашева 1957: 266-267]		
indexing	causative u- (менее продуктивный)	2018-02-12	AF			SWC		нет			[Керашева 1957: 266-267]		
adjectives	comparative	2018-02-12	AF			Shapsug		nah adjective			[Керашева 1957: 248]		
adjectives	comparative	2018-02-12	AF			Bzhedug		nah			[Ситимова 2004: 71]		
adjectives	comparative	2018-02-12	AF			SWC		nah					
tenses	CVB + IPF	2018-02-12	AF			Shapsug		да	"суффиксы прошедших времен могут присоединяться к деепричастиям (""н.вр. - нсв, пр.вр. - св""). примеры только про имперфект, но может речь и про past тоже."		[Керашева 1957: 263]		
tenses	CVB + IPF	2018-02-12	AF			SWC		нет	"суффиксы прошедших времен могут присоединяться к деепричастиям (""н.вр. - нсв, пр.вр. - св""). примеры только про имперфект, но может речь и про past тоже."		[Керашева 1957: 263]		
adjectives	diminutive	2018-02-12	AF			Shapsug		цIыкIу, -жъый			[Керашева 1957: 248]		
morphonology	DIR-2SG.IO-OBL	2018-02-12	AF		При сочетании директива с личным показателем, гласный в превербе выпадает в темиргоевском, но не в бжедугском [Ситимова 2004: 101]. Однако, примеры даны только для сочетания директива с показателем непрямого объекта второго лица единственного числа.	Bzhedug		нет	Я пока что не смог понять, как это соотносится с известными чередованиями.	"(1a) (бжедугский) qəweseʔʷe ""я тебя слушаю"" (1b) (темиргоевский) qweseʔʷe ""я тебя слушаю"""	[Ситимова 2004: 101]		
morphonology	DIR-2SG.IO-OBL	2018-02-12	AF		При сочетании директива с личным показателем, гласный в превербе выпадает в темиргоевском, но не в бжедугском [Ситимова 2004: 101]. Однако, примеры даны только для сочетания директива с показателем непрямого объекта второго лица единственного числа.	Temirgoi		qə- DIR —> q- / _-we-e- 2SG.IO-OBL	Я пока что не смог понять, как это соотносится с известными чередованиями.	"(1a) (бжедугский) qəweseʔʷe ""я тебя слушаю"" (1b) (темиргоевский) qweseʔʷe ""я тебя слушаю"""	[Ситимова 2004: 101]		
mood	final vowel in imperatives	2018-02-12	AF			Shapsug		да			[Керашева 1957: 268]		
mood	final vowel in imperatives	2018-02-12	AF			SWC		нет			[Керашева 1957: 268]		
proforms	medial (distant, visible)	2018-02-12	AF		Основа местоимения	Kabardian		mo-			[Керашева 1957: 250]		
proforms	medial (distant, visible)	2018-02-12	AF		Основа местоимения	Shapsug		wə-			[Керашева 1957: 250]		
proforms	medial (distant, visible)	2018-02-12	AF		Основа местоимения	SWC		mo-			[Керашева 1957: 250]		
proforms	medial (distant, visible)	2018-02-12	AF		Основа местоимения	Bzhedug		ɣʷo-			[Ситимова 2004: 78-79]		
proforms	medial (distant, visible)	2018-02-12	AF		Основа местоимения	Abzakh		mo-			[Тхаркахо 1993: 93]		
proforms	medial (distant, visible)	2018-02-12	AF		Основа местоимения	Temirgoi		mo-			[Тхаркахо 1993: 93]		
proforms	medial (distant, visible)	2018-02-12	AF		Основа местоимения	Bzhedug		wə-			[Тхаркахо 1993: 93]		
exclamations	звательное	2018-02-12	AF			Shapsug		Жьэу			[Керашева 1957: 278]		
exclamations	звательное	2018-03-14	AF			Bzhedug		эй, зэ! ей! эй-эй!			[Ситимова 2004: 118]	междометие	
exclamations	обращение	2018-03-14	AF			Bzhedug		А нау! А кIал! А тIэхъу!			[Ситимова 2004: 119]	междометие	
exclamations	шуточные пожелания	2018-03-14	AF			Bzhedug		зиуз к1одын «да чьи болезни исчезнут»; уиуз къэсэхъ «твою болезнь приму»; спсэ зикъурмэн, къурмэн сызфэхъун! «жертва души моей», псым фэдэу уалъэгъу «пусть будешь любима как вода»			[Ситимова 2004: 118]	междометие	
questions	polar questions: FOCUS-a [relative clause]	2018-02-12	AF			Shapsug		optional			[Керашева 1957: 275-276]		
questions	polar questions: FOCUS-a [relative clause]	2018-02-12	AF			SWC		obligatory			[Керашева 1957: 275-276]		
possession	poss + erg.sg или abs.sg	2018-02-12	AF			Kabardian		да	в примерах на адыгейский во множ числе только неотторжимые; если есть прилагательное, то на нем в ед числе может висеть падеж (70)		[Кумахов 2013: 74]		
possession	poss + erg.sg или abs.sg	2018-02-12	AF			SWC		нет	в примерах на адыгейский во множ числе только неотторжимые; если есть прилагательное, то на нем в ед числе может висеть падеж (70)		[Рогава, Керашева 1966: 70]		
mood	POT	2018-02-12	AF			Bzhedug		"-шъу (но -ф с глаголом шIэн ""делать"")"	"вроде бы это фонетическая разница между адыгейским и кабардинским, но в шапс и бжед получается у глагола ""делать"" потенциалис кабардинский; интересный вопрос — что значит глагол шIэн с потенциалисом -ф (у Керашевой написано что-то невнятное)"		[Керашева 1957: 267]		
mood	POT	2018-02-12	AF			Kabardian		-ф	"вроде бы это фонетическая разница между адыгейским и кабардинским, но в шапс и бжед получается у глагола ""делать"" потенциалис кабардинский; интересный вопрос — что значит глагол шIэн с потенциалисом -ф (у Керашевой написано что-то невнятное)"		[Керашева 1957: 267]		
mood	POT	2018-02-12	AF			Shapsug		"-шъу (но -ф с глаголом шIэн ""делать"")"	"вроде бы это фонетическая разница между адыгейским и кабардинским, но в шапс и бжед получается у глагола ""делать"" потенциалис кабардинский; интересный вопрос — что значит глагол шIэн с потенциалисом -ф (у Керашевой написано что-то невнятное)"		[Керашева 1957: 267]		
mood	POT	2018-02-12	AF			SWC		-шъу	"вроде бы это фонетическая разница между адыгейским и кабардинским, но в шапс и бжед получается у глагола ""делать"" потенциалис кабардинский; интересный вопрос — что значит глагол шIэн с потенциалисом -ф (у Керашевой написано что-то невнятное)"		[Керашева 1957: 267]		
proforms	predicative form	2018-02-12	AF			Bzhedug		a-ra-rə			[Тхаркахо 1993: 93]		
proforms	predicative form	2018-02-12	AF			Temirgoi		a-rə			[Тхаркахо 1993: 93]		
numerals	prefix of cardinals (>1)	2018-02-12	AF			Shapsug		и-	тут похоже просто орфографическое различие		[Керашева 1957: 255]		
numerals	prefix of cardinals (>1)	2018-02-12	AF			SWC		ый-	тут похоже просто орфографическое различие		[Керашева 1957: 255]		
indexing	REFL + COM = COM	2018-02-12	AF			Shapsug		да	еще Керашева пишет, что в шапсугском есть случаи лексикализации рефлексива и в таких глаголах он может появиться дважды (войти, помешивать) - вряд ли нам это нужно?		[Керашева 1957: 264]		
indexing	REFL + COM = COM	2018-02-12	AF			SWC		нет	еще Керашева пишет, что в шапсугском есть случаи лексикализации рефлексива и в таких глаголах он может появиться дважды (войти, помешивать) - вряд ли нам это нужно?		[Керашева 1957: 264]		
number	stem-pl - erg или abs	2018-02-12	AF			Kabardian		Proper names, stem(VOC)			[Кумахов 2013: 68]		
proforms	wədre 'тот'	2018-02-12	AF		Помимо самого местоимения wə есть еще wədre. Пока не понимаю, есть ли и от других демонстративов и в других диалектах	Shapsug		да			[Керашева 1957: 251]		
proforms	"наречие ""здесь"""	2018-03-14	AF			Bzhedug		модж			[Ситимова 2004: 109]		
proforms	"наречие ""здесь"""	2018-03-14	AF			SWC		мыщ			[Ситимова 2004: 109]		
proforms	"наречие ""здесь"""	2018-03-14	AF			Temirgoi		мыкIи			[Ситимова 2004: 109]		
proforms	"наречие ""там"""	2018-03-14	AF			Temirgoi		мокIэ, модэ			[Ситимова 2004: 109]		
proforms	"наречие ""там"""	2018-03-14	AF			Bzhedug		ɣодэ, ɣодж, уа одж			[Ситимова 2004: 109]		
adverbs	"наречие ""теперь"""	2018-03-14	AF			Bzhedug		ыдж			[Ситимова 2004: 109]		
adverbs	"наречие ""теперь"""	2018-03-14	AF			SWC		джы			[Ситимова 2004: 109]		
adverbs	"наречие ""сейчас"""	2018-03-14	AF			SWC		джы дэдэм			[Ситимова 2004: 109]		
adverbs	"наречие ""сейчас"""	2018-03-14	AF			Bzhedug		"идэдэм; идэдэ Iуращъэм ""сию секунду"""			[Ситимова 2004: 109]		
personal pronouns	with -jə ADD	2018-02-12	AF			Bzhedug		-jə / -r-jə			[Ситимова 2004: 76]		
personal pronouns	with -jə ADD	2018-02-12	AF			SWC		-r-jə					
exclamations	ответ на зов	2018-02-12	AF			Shapsug		Уй			[Керашева 1957: 278]		
exclamations	ответ на зов	2018-03-14	AF			Bzhedug		Эу			[Ситимова 2004: 118]	междометие	
proforms	абсолютив множественного	2018-02-12	AF		Перечень данных форм	Shapsug		a-xe-r, a-r-xe-r / (?mə-xe-r) mə-r-xe-r / wə-xe-r, wə-r-xe-r			[Керашева 1957: 251]		
cases	абсолютивный актант 1 или 2 лица, выраженный именем	2018-03-13	AF		Абсолютивный актант 1 или 2 лица, выраженный именем, может оформляться не абсолютивом.	Shapsug		INS	"Не уточняется про лицо ИГ: ""Имя, оформленное -мгьэ как будто выступает в роли субъекта"". Речь идет о различии в функции инструменталиса с показателем эргатива (-м-гьэ) и без него (-гьэ)."	(шапсугский) ЛIыжъ-хэ-м-джэ, шъу-тIы.сы-х! ‘Старики, садитесь!’ (темиргоевский) ЛIыжъ-хэ-р, шъу-тIы.сы-х!	[Керашева 1957: 245]		
cases	абсолютивный актант 1 или 2 лица, выраженный именем	2018-03-13	AF		Абсолютивный актант 1 или 2 лица, выраженный именем, может оформляться не абсолютивом.	Temirgoi		ABS/ERG		(шапсугский) ЛIыжъ-хэ-м-джэ, шъу-тIы.сы-х! ‘Старики, садитесь!’ (темиргоевский) ЛIыжъ-хэ-р, шъу-тIы.сы-х!	[Керашева 1957: 245]		
possession	автономные притяжательные местоимения	2018-02-12	AF			Shapsug		sesəj/səje	На примере 1sg		[Керашева 1957: 252-253]		
possession	автономные притяжательные местоимения	2018-02-12	AF			SWC		sesəj	На примере 1sg		[Керашева 1957: 252-253]		
proforms	адвербиалис единственного	2018-02-12	AF		В [Зекох 1969: 87] приводятся бжедугские формы указательного местоимения: предикативная арары и адвербиальная арарэу. Однако, не ясно, существуют ли подобные формы других падежей и с другими местоименными корнями.	Bzhedug		да			[Зекох 1969: 87]	редуплицированная предикативная форма и относительный падеж от неё	арары, арарэу
proforms	адвербиалис единственного	2018-02-12	AF		В [Зекох 1969: 87] приводятся бжедугские формы указательного местоимения: предикативная арары и адвербиальная арарэу. Однако, не ясно, существуют ли подобные формы других падежей и с другими местоименными корнями.	Temirgoi		нет			[Зекох 1969: 87]	относительный падеж	арэу
additive	аналитический аддитив	2018-03-14	AF			Bzhedug		əǯjə			[Тхаркахо 1993: 96]	союз	ыджи
additive	аналитический аддитив	2018-03-14	AF			Bzhedug		əǯjə			[Ситимова 2004: 117]	союз	ыджи
additive	аналитический аддитив	2018-03-14	AF			SWC		əč̣’jə			[Ситимова 2004: 117]	союз	ыкIи
additive	аналитический аддитив	2018-03-14	AF			Temirgoi		əč̣’jə			[Тхаркахо 1993: 96]	союз	ыкIи
postpositions	бенефактивный послелог	2018-02-12	AF			Shapsug		фэшI			[Керашева 1957: 245]	послелог	фэш1
postpositions	бенефактивный послелог	2018-02-12	AF			SWC		paje			[Керашева 1957: 245]	послелог	пае
verbal plural	в имперфективных формах	2018-02-12	AF		В формах со вспомогательным глаголом š't- показатель множественного числа -xe в шапсугском присоединяется к лексическому глаголу, а в литературном адыгейском ко вспомогательному. Реже в шапсугском показатель множественного числа -xe присоединяется и к лексическому глаголу, и к вспомогательному.	Shapsug		перед AUX			[Керашева 1957: 263]		
verbal plural	в имперфективных формах	2018-02-12	AF		В формах со вспомогательным глаголом š't- показатель множественного числа -xe в шапсугском присоединяется к лексическому глаголу, а в литературном адыгейском ко вспомогательному. Реже в шапсугском показатель множественного числа -xe присоединяется и к лексическому глаголу, и к вспомогательному.	SWC		после AUX			[Керашева 1957: 263]		
preverbs	вверх	2018-02-12	AF			SWC		d- — -j		"deḳʷejen ""подниматься"""	[Керашева 1957: 255-256]		
preverbs	вверх	2018-02-12	AF			Shapsug		преверб č̣’e- + корневой ə	Под корневым -ə- имеется в виду, что если глагол имеет в корне -e-, то он переходит в -ə-.	"deḳʷejen ""подниматься"""	[Керашева 1957: 256]		
wh-pronouns	"вводное слово ""всё же"""	2018-02-12	AF		"Образуется по модели что(-m)-jə. Переводится как ""что бы там ни было""."	Bzhedug		ŝəd(m)jə			[Ситимова 2004: 84]		
wh-pronouns	"вводное слово ""всё же"""	2018-02-12	AF		"Образуется по модели что(-m)-jə. Переводится как ""что бы там ни было""."	SWC		səd(m)jə			[Ситимова 2004: 84]		
questions	вместо вопросительного -ra в бжедугском иногда появляется -aa	2018-02-12	AF		Сочетание -re- DYN и -a Q	Abzakh		-ra			[Ситимова 2004: 97-98]		
questions	вместо вопросительного -ra в бжедугском иногда появляется -aa	2018-02-12	AF		Сочетание -re- DYN и -a Q	Bzhedug		-aa			[Ситимова 2004: 97-98]		
questions	вместо вопросительного -ra в бжедугском иногда появляется -aa	2018-02-12	AF		Сочетание -re- DYN и -a Q	Temirgoi		-ra			[Ситимова 2004: 97-98]		
preverbs	вниз	2018-02-12	AF			SWC		je- — -x		"jepλəxə ""он смотрит вниз"""	[Керашева 1957: 255-256]		
preverbs	вниз	2018-02-12	AF				Agui	преверб ŝhe- + корневой ə		"jepλəxə ""он смотрит вниз"""	[Керашева 1957: 256]		
preverbs	вниз	2018-02-12	AF				Psybe	преверб ŝhe- + корневой ə		"jepλəxə ""он смотрит вниз"""	[Керашева 1957: 256]		
emphatic	вопросительно-утвердительные предложения с суффиксом -ba	2018-02-12	AF		В бжедугском другая интонация. Кроме того, могут быть образованы и от причастия, только не сказано, во всех ли диалектах или только в бжедугском	Bzhedug					[Ситимова 2004: 98]		
exclamations	сожаление	2018-02-12	AF			Shapsug		Гущэ	Юра говорит, что у бжедугов это был суффикс		[Керашева 1957: 278]		
converbs	все конвербы состоящие из элементов -ze-, -re-, -we-, -gʷe-, -zeʁʷe-	2018-02-12	AF		"Наборы данных показателей инфинитного подчинения упоминаются вместе и часто ""заменяют"" одни других в разных диалектах. Видимо, сферы их использования пересекаются."	Bzhedug		-gʷezeʁʷe			[Керашева 1957: 270]		
converbs	все конвербы состоящие из элементов -ze-, -re-, -we-, -gʷe-, -zeʁʷe-	2018-02-12	AF		"Наборы данных показателей инфинитного подчинения упоминаются вместе и часто ""заменяют"" одни других в разных диалектах. Видимо, сферы их использования пересекаются."	Shapsug		-jə, -rjə, -gʷe, -gʷere, -gʷere(-m)-gʲe, -gʷeze, -gʷezeʁʷe, -zeʁʷe, редко -gʷezeʁʷəgʲe			[Керашева 1957: 271-272]		
converbs	все конвербы состоящие из элементов -ze-, -re-, -we-, -gʷe-, -zeʁʷe-	2018-02-12	AF		"Наборы данных показателей инфинитного подчинения упоминаются вместе и часто ""заменяют"" одни других в разных диалектах. Видимо, сферы их использования пересекаются."	Kabardian		-re			[Кумахова 1972: 81]		
converbs	все конвербы состоящие из элементов -ze-, -re-, -we-, -gʷe-, -zeʁʷe-	2018-02-12	AF		"Наборы данных показателей инфинитного подчинения упоминаются вместе и часто ""заменяют"" одни других в разных диалектах. Видимо, сферы их использования пересекаются."	SWC		-we, -ze, -zere, -gʷeze, -gʷezere			[Кумахова 1972: 81]		
converbs	все конвербы состоящие из элементов -ze-, -re-, -we-, -gʷe-, -zeʁʷe-	2018-02-12	AF		"Наборы данных показателей инфинитного подчинения упоминаются вместе и часто ""заменяют"" одни других в разных диалектах. Видимо, сферы их использования пересекаются."	Abzakh		-we, -ze, -re, -zere, -gʷere, -gʷeze, -gʷezere			[Кумахова 1972: 81]		
converbs	все конвербы состоящие из элементов -ze-, -re-, -we-, -gʷe-, -zeʁʷe-	2018-02-12	AF		"Наборы данных показателей инфинитного подчинения упоминаются вместе и часто ""заменяют"" одни других в разных диалектах. Видимо, сферы их использования пересекаются."	Abzakh		-ze, -w, -ew			[Ситимова 2004: 108]		
converbs	все конвербы состоящие из элементов -ze-, -re-, -we-, -gʷe-, -zeʁʷe-	2018-02-12	AF		"Наборы данных показателей инфинитного подчинения упоминаются вместе и часто ""заменяют"" одни других в разных диалектах. Видимо, сферы их использования пересекаются."	Temirgoi		-w, -ew, -gʷezere, -re, -ze			[Ситимова 2004: 108]		
converbs	все конвербы состоящие из элементов -ze-, -re-, -we-, -gʷe-, -zeʁʷe-	2018-02-12	AF		"Наборы данных показателей инфинитного подчинения упоминаются вместе и часто ""заменяют"" одни других в разных диалектах. Видимо, сферы их использования пересекаются."	Bzhedug		-w, -ew, -gʷe, -gʷewe, -ze, -gʷeze, -zeʁʷe			[Ситимова 2004: 108]		
adjectives	выделение части из массы	2018-02-12	AF			Shapsug		poss-adjective			[Керашева 1957: 249]		
dynamic	выпадение -r- перед абсолютивом	2018-02-12	AF		В бжедугском может выпадать согласный /r/ суффикса динамичности перед абсолютивом.	Bzhedug		-re(r) / -er	"При этом в вариантах словоформ, где /r/ не выпадает взят в скобки согласный /r/ абсолютива: txere(r) / txeer ""пишущий"""		[Ситимова 2004: 106]		
dynamic	выпадение -r- перед отрицанием в настоящем времени	2018-02-12	AF		В бжедугском и темиргоевском иногда выпадает согласный /r/ суффикса динамичности перед отрицанием -ep	Abzakh		нет			[Ситимова 2004: 89]		
dynamic	выпадение -r- перед отрицанием в настоящем времени	2018-02-12	AF		В бжедугском и темиргоевском иногда выпадает согласный /r/ суффикса динамичности перед отрицанием -ep	Bzhedug		иногда			[Ситимова 2004: 89]		
dynamic	выпадение -r- перед отрицанием в настоящем времени	2018-02-12	AF		В бжедугском и темиргоевском иногда выпадает согласный /r/ суффикса динамичности перед отрицанием -ep	Shapsug		редко	Судя по примерам, в шапсугском в некоторых случаях тоже может выпадать.		[Ситимова 2004: 89]		
dynamic	выпадение -r- перед отрицанием в настоящем времени	2018-02-12	AF		В бжедугском и темиргоевском иногда выпадает согласный /r/ суффикса динамичности перед отрицанием -ep	Temirgoi		иногда			[Ситимова 2004: 89]		
tenses	выражение имперфекта	2018-02-12	AF		Имперфект выражается присоединением вспомогательной основой с показателем прошедшего времени. Вспомогательная основа может выглядеть как š'tə- или tə- в разных диалектах. В значениях изоглосс записана основа с показателем прошедшего времени.	SWC		-š'təʁe			[Кумахова 1972: 79-80]	имперфект	-шьтыгъэ; -тыгъэ
tenses	выражение имперфекта	2018-02-12	AF		Имперфект выражается присоединением вспомогательной основой с показателем прошедшего времени. Вспомогательная основа может выглядеть как š'tə- или tə- в разных диалектах. В значениях изоглосс записана основа с показателем прошедшего времени.	Abzakh		-š'təʁe, -təʁe			[Кумахова 1972: 79-80]	имперфект	-шьтыгъэ; -тыгъэ
tenses	выражение имперфекта	2018-02-12	AF		Имперфект выражается присоединением вспомогательной основой с показателем прошедшего времени. Вспомогательная основа может выглядеть как š'tə- или tə- в разных диалектах. В значениях изоглосс записана основа с показателем прошедшего времени.	Abzakh		-təʁe			[Ситимова 2004: 93]	прошедший несовершенный вид	-тыгъ
